# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.998053E-03
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-2.74031220E-03 1.49157239E+00 2.89019950E-03
-2.74033370E-03 1.49180603E+00 2.88892756E-03
-2.74035519E-03 1.49203986E+00 2.88765506E-03
-2.74037669E-03 1.49227388E+00 2.88638176E-03
-2.74039812E-03 1.49250807E+00 2.88510837E-03
-2.74041959E-03 1.49274247E+00 2.88383395E-03
-2.74044102E-03 1.49297704E+00 2.88255920E-03
-2.74046244E-03 1.49321181E+00 2.88128389E-03
-2.74048386E-03 1.49344677E+00 2.88000778E-03
-2.74050522E-03 1.49368190E+00 2.87873157E-03
-2.74052662E-03 1.49391723E+00 2.87745432E-03
-2.74054579E-03 1.49414868E+00 2.87655185E-03
-2.74056480E-03 1.49438002E+00 2.87567468E-03
-2.74058382E-03 1.49461156E+00 2.87479701E-03
-2.74060279E-03 1.49484328E+00 2.87391955E-03
-2.74062179E-03 1.49507519E+00 2.87304134E-03
-2.74064075E-03 1.49530728E+00 2.87216309E-03
-2.74065970E-03 1.49553956E+00 2.87128458E-03
-2.74067867E-03 1.49577203E+00 2.87040556E-03
-2.74069758E-03 1.49600468E+00 2.86952674E-03
-2.74071652E-03 1.49623752E+00 2.86864717E-03
-2.74073366E-03 1.49646708E+00 2.86791256E-03
-2.74075047E-03 1.49669631E+00 2.86719950E-03
-2.74076733E-03 1.49692573E+00 2.86648579E-03
-2.74078415E-03 1.49715534E+00 2.86577214E-03
-2.74080096E-03 1.49738512E+00 2.86505831E-03
-2.74081779E-03 1.49761510E+00 2.86434406E-03
-2.74083456E-03 1.49784526E+00 2.86363011E-03
-2.74085137E-03 1.49807560E+00 2.86291549E-03
-2.74086817E-03 1.49830614E+00 2.86220070E-03
-2.74088491E-03 1.49853685E+00 2.86148621E-03
-2.74090023E-03 1.49876481E+00 2.86088887E-03
-2.74091516E-03 1.49899225E+00 2.86031958E-03
-2.74093009E-03 1.49921987E+00 2.85975016E-03
-2.74094503E-03 1.49944769E+00 2.85918040E-03
-2.74095994E-03 1.49967568E+00 2.85861075E-03
-2.74097485E-03 1.49990385E+00 2.85804100E-03
-2.74098977E-03 1.50013222E+00 2.85747088E-03
-2.74100463E-03 1.50036076E+00 2.85690113E-03
-2.74101954E-03 1.50058950E+00 2.85633079E-03
-2.74103444E-03 1.50081842E+00 2.85576032E-03
-2.74104809E-03 1.50104501E+00 2.85528594E-03
-2.74106137E-03 1.50127094E+00 2.85484383E-03
-2.74107464E-03 1.50149705E+00 2.85440166E-03
-2.74108785E-03 1.50172333E+00 2.85395989E-03
-2.74110112E-03 1.50194981E+00 2.85351758E-03
-2.74111437E-03 1.50217647E+00 2.85307519E-03
-2.74112757E-03 1.50240331E+00 2.85263322E-03
-2.74114081E-03 1.50263034E+00 2.85219069E-03
-2.74115405E-03 1.50285755E+00 2.85174809E-03
-2.74116724E-03 1.50308494E+00 2.85130590E-03
-2.74117949E-03 1.50331040E+00 2.85094128E-03
-2.74119128E-03 1.50353504E+00 2.85061325E-03
-2.74120301E-03 1.50375985E+00 2.85028567E-03
-2.74121479E-03 1.50398485E+00 2.84995757E-03
-2.74122657E-03 1.50421004E+00 2.84962943E-03
-2.74123829E-03 1.50443541E+00 2.84930173E-03
-2.74125006E-03 1.50466096E+00 2.84897350E-03
-2.74126182E-03 1.50488671E+00 2.84864524E-03
-2.74127355E-03 1.50511263E+00 2.84831718E-03
-2.74128528E-03 1.50533873E+00 2.84798908E-03
-2.74129624E-03 1.50556322E+00 2.84772498E-03
-2.74130668E-03 1.50578675E+00 2.84750103E-03
-2.74131711E-03 1.50601047E+00 2.84727706E-03
-2.74132757E-03 1.50623437E+00 2.84705283E-03
-2.74133802E-03 1.50645846E+00 2.84682857E-03
-2.74134842E-03 1.50668272E+00 2.84660479E-03
-2.74135886E-03 1.50690718E+00 2.84638050E-03
-2.74136931E-03 1.50713182E+00 2.84615618E-03
-2.74137972E-03 1.50735664E+00 2.84593210E-03
-2.74139013E-03 1.50758165E+00 2.84570799E-03
-2.74139992E-03 1.50780529E+00 2.84553711E-03
-2.74140919E-03 1.50802787E+00 2.84540948E-03
-2.74141843E-03 1.50825063E+00 2.84528209E-03
-2.74142767E-03 1.50847357E+00 2.84515469E-03
-2.74143693E-03 1.50869670E+00 2.84502703E-03
-2.74144619E-03 1.50892001E+00 2.84489937E-03
-2.74145540E-03 1.50914350E+00 2.84477219E-03
-2.74146465E-03 1.50936718E+00 2.84464451E-03
-2.74147391E-03 1.50959105E+00 2.84451682E-03
-2.74148315E-03 1.50981510E+00 2.84438912E-03
-2.74149183E-03 1.51003800E+00 2.84430702E-03
-2.74150002E-03 1.51025971E+00 2.84427154E-03
-2.74150820E-03 1.51048161E+00 2.84423605E-03
-2.74151639E-03 1.51070370E+00 2.84420057E-03
-2.74152454E-03 1.51092596E+00 2.84416532E-03
-2.74153269E-03 1.51114840E+00 2.84413008E-03
-2.74154087E-03 1.51137103E+00 2.84409458E-03
-2.74154904E-03 1.51159385E+00 2.84405908E-03
-2.74155719E-03 1.51181685E+00 2.84402383E-03
-2.74156534E-03 1.51204003E+00 2.84398857E-03
-2.74157309E-03 1.51226227E+00 2.84399154E-03
-2.74158028E-03 1.51248317E+00 2.84404655E-03
-2.74158746E-03 1.51270426E+00 2.84410155E-03
-2.74159463E-03 1.51292552E+00 2.84415679E-03
-2.74160179E-03 1.51314696E+00 2.84421202E-03
-2.74160897E-03 1.51336860E+00 2.84426701E-03
-2.74161615E-03 1.51359042E+00 2.84432199E-03
-2.74162333E-03 1.51381242E+00 2.84437697E-03
-2.74163048E-03 1.51403460E+00 2.84443219E-03
-2.74163763E-03 1.51425697E+00 2.84448740E-03
-2.74164448E-03 1.51447857E+00 2.84457543E-03
-2.74165073E-03 1.51469866E+00 2.84472188E-03
-2.74165699E-03 1.51491893E+00 2.84486833E-03
-2.74166324E-03 1.51513938E+00 2.84501476E-03
-2.74166949E-03 1.51536002E+00 2.84516118E-03
-2.74167572E-03 1.51558084E+00 2.84530784E-03
-2.74168195E-03 1.51580184E+00 2.84545449E-03
-2.74168819E-03 1.51602303E+00 2.84560088E-03
-2.74169444E-03 1.51624441E+00 2.84574726E-03
-2.74170069E-03 1.51646597E+00 2.84589362E-03
-2.74170667E-03 1.51668691E+00 2.84606827E-03
-2.74171204E-03 1.51690614E+00 2.84630971E-03
-2.74171738E-03 1.51712555E+00 2.84655138E-03
-2.74172275E-03 1.51734515E+00 2.84679277E-03
-2.74172809E-03 1.51756493E+00 2.84703438E-03
-2.74173345E-03 1.51778489E+00 2.84727573E-03
-2.74173882E-03 1.51800504E+00 2.84751704E-03
-2.74174418E-03 1.51822537E+00 2.84775834E-03
-2.74174954E-03 1.51844589E+00 2.84799960E-03
-2.74175490E-03 1.51866659E+00 2.84824084E-03
-2.74176006E-03 1.51888683E+00 2.84850572E-03
-2.74176456E-03 1.51910510E+00 2.84884818E-03
-2.74176907E-03 1.51932357E+00 2.84919060E-03
-2.74177357E-03 1.51954221E+00 2.84953296E-03
-2.74177807E-03 1.51976104E+00 2.84987529E-03
-2.74178255E-03 1.51998004E+00 2.85021781E-03
-2.74178705E-03 1.52019924E+00 2.85056004E-03
-2.74179155E-03 1.52041862E+00 2.85090223E-03
-2.74179605E-03 1.52063818E+00 2.85124436E-03
-2.74180055E-03 1.52085793E+00 2.85158645E-03
-2.74180488E-03 1.52107736E+00 2.85194743E-03
-2.74180852E-03 1.52129454E+00 2.85239942E-03
-2.74181219E-03 1.52151190E+00 2.85285107E-03
-2.74181584E-03 1.52172944E+00 2.85330291E-03
-2.74181948E-03 1.52194717E+00 2.85375466E-03
-2.74182312E-03 1.52216508E+00 2.85420634E-03
-2.74182677E-03 1.52238318E+00 2.85465795E-03
