# EOS Table generated on 20120309 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
# T =    0.100000E-01
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.158181E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-2.74031220E-03 1.49157239E+00 2.89019950E-03
-2.74033589E-03 1.49182982E+00 2.88879810E-03
-2.74035956E-03 1.49208748E+00 2.88739601E-03
-2.74038321E-03 1.49234536E+00 2.88599325E-03
-2.74040687E-03 1.49260348E+00 2.88458957E-03
-2.74043051E-03 1.49286182E+00 2.88318520E-03
-2.74045411E-03 1.49312039E+00 2.88178039E-03
-2.74047769E-03 1.49337919E+00 2.88037489E-03
-2.74050125E-03 1.49363821E+00 2.87896870E-03
-2.74052480E-03 1.49389746E+00 2.87756183E-03
-2.74054613E-03 1.49415279E+00 2.87653627E-03
-2.74056709E-03 1.49440771E+00 2.87556960E-03
-2.74058802E-03 1.49466284E+00 2.87460284E-03
-2.74060893E-03 1.49491820E+00 2.87363575E-03
-2.74062983E-03 1.49517379E+00 2.87266833E-03
-2.74065074E-03 1.49542960E+00 2.87170035E-03
-2.74067164E-03 1.49568565E+00 2.87073204E-03
-2.74069250E-03 1.49594191E+00 2.86976363E-03
-2.74071334E-03 1.49619840E+00 2.86879490E-03
-2.74073251E-03 1.49645192E+00 2.86796005E-03
-2.74075109E-03 1.49670448E+00 2.86717395E-03
-2.74076965E-03 1.49695727E+00 2.86638763E-03
-2.74078818E-03 1.49721028E+00 2.86560133E-03
-2.74080670E-03 1.49746352E+00 2.86481482E-03
-2.74082520E-03 1.49771698E+00 2.86402808E-03
-2.74084372E-03 1.49797067E+00 2.86324089E-03
-2.74086223E-03 1.49822458E+00 2.86245348E-03
-2.74088071E-03 1.49847872E+00 2.86166609E-03
-2.74089798E-03 1.49873068E+00 2.86097441E-03
-2.74091443E-03 1.49898125E+00 2.86034721E-03
-2.74093089E-03 1.49923204E+00 2.85971964E-03
-2.74094735E-03 1.49948306E+00 2.85909192E-03
-2.74096378E-03 1.49973430E+00 2.85846430E-03
-2.74098019E-03 1.49998576E+00 2.85783654E-03
-2.74099660E-03 1.50023745E+00 2.85720864E-03
-2.74101302E-03 1.50048937E+00 2.85658036E-03
-2.74102944E-03 1.50074151E+00 2.85595193E-03
-2.74104500E-03 1.50099215E+00 2.85538923E-03
-2.74105960E-03 1.50124103E+00 2.85490243E-03
-2.74107422E-03 1.50149014E+00 2.85441531E-03
-2.74108883E-03 1.50173947E+00 2.85392811E-03
-2.74110341E-03 1.50198901E+00 2.85344106E-03
-2.74111798E-03 1.50223878E+00 2.85295392E-03
-2.74113257E-03 1.50248878E+00 2.85246646E-03
-2.74114715E-03 1.50273901E+00 2.85197891E-03
-2.74116171E-03 1.50298945E+00 2.85149151E-03
-2.74117573E-03 1.50323898E+00 2.85104564E-03
-2.74118872E-03 1.50348643E+00 2.85068430E-03
-2.74120170E-03 1.50373410E+00 2.85032291E-03
-2.74121465E-03 1.50398199E+00 2.84996171E-03
-2.74122759E-03 1.50423010E+00 2.84960046E-03
-2.74124055E-03 1.50447844E+00 2.84923892E-03
-2.74125351E-03 1.50472701E+00 2.84887733E-03
-2.74126644E-03 1.50497579E+00 2.84851594E-03
-2.74127936E-03 1.50522479E+00 2.84815450E-03
-2.74129203E-03 1.50547340E+00 2.84781515E-03
-2.74130355E-03 1.50571962E+00 2.84756820E-03
-2.74131505E-03 1.50596605E+00 2.84732147E-03
-2.74132656E-03 1.50621272E+00 2.84707447E-03
-2.74133807E-03 1.50645960E+00 2.84682745E-03
-2.74134955E-03 1.50670671E+00 2.84658064E-03
-2.74136103E-03 1.50695403E+00 2.84633382E-03
-2.74137253E-03 1.50720159E+00 2.84608672E-03
-2.74138402E-03 1.50744937E+00 2.84583960E-03
-2.74139541E-03 1.50769718E+00 2.84559918E-03
-2.74140562E-03 1.50794233E+00 2.84545862E-03
-2.74141583E-03 1.50818770E+00 2.84531805E-03
-2.74142600E-03 1.50843328E+00 2.84517771E-03
-2.74143620E-03 1.50867909E+00 2.84503712E-03
-2.74144640E-03 1.50892513E+00 2.84489651E-03
-2.74145657E-03 1.50917138E+00 2.84475614E-03
-2.74146676E-03 1.50941786E+00 2.84461552E-03
-2.74147694E-03 1.50966457E+00 2.84447489E-03
-2.74148710E-03 1.50991149E+00 2.84433449E-03
-2.74149620E-03 1.51015589E+00 2.84428800E-03
-2.74150521E-03 1.51040029E+00 2.84424896E-03
-2.74151420E-03 1.51064490E+00 2.84421016E-03
-2.74152321E-03 1.51088975E+00 2.84417111E-03
-2.74153221E-03 1.51113481E+00 2.84413206E-03
-2.74154119E-03 1.51138010E+00 2.84409326E-03
-2.74155019E-03 1.51162561E+00 2.84405420E-03
-2.74155919E-03 1.51187135E+00 2.84401514E-03
-2.74156816E-03 1.51211730E+00 2.84397632E-03
-2.74157632E-03 1.51236118E+00 2.84401602E-03
-2.74158421E-03 1.51260466E+00 2.84407692E-03
-2.74159213E-03 1.51284836E+00 2.84413757E-03
-2.74160004E-03 1.51309229E+00 2.84419821E-03
-2.74160792E-03 1.51333644E+00 2.84425910E-03
-2.74161585E-03 1.51358082E+00 2.84431948E-03
-2.74162373E-03 1.51382541E+00 2.84438036E-03
-2.74163163E-03 1.51407024E+00 2.84444098E-03
-2.74163953E-03 1.51431529E+00 2.84450159E-03
-2.74164674E-03 1.51455863E+00 2.84462881E-03
-2.74165366E-03 1.51480121E+00 2.84478998E-03
-2.74166052E-03 1.51504400E+00 2.84495162E-03
-2.74166742E-03 1.51528702E+00 2.84511276E-03
-2.74167428E-03 1.51553025E+00 2.84527438E-03
-2.74168116E-03 1.51577372E+00 2.84543574E-03
-2.74168804E-03 1.51601740E+00 2.84559708E-03
-2.74169492E-03 1.51626132E+00 2.84575841E-03
-2.74170180E-03 1.51650545E+00 2.84591973E-03
-2.74170814E-03 1.51674825E+00 2.84613619E-03
-2.74171408E-03 1.51698986E+00 2.84640200E-03
-2.74171996E-03 1.51723169E+00 2.84666828E-03
-2.74172589E-03 1.51747375E+00 2.84693403E-03
-2.74173177E-03 1.51771602E+00 2.84720026E-03
-2.74173770E-03 1.51795853E+00 2.84746595E-03
-2.74174360E-03 1.51820126E+00 2.84773186E-03
-2.74174950E-03 1.51844421E+00 2.84799774E-03
-2.74175540E-03 1.51868738E+00 2.84826359E-03
-2.74176093E-03 1.51892958E+00 2.84857291E-03
-2.74176589E-03 1.51917012E+00 2.84895027E-03
-2.74177085E-03 1.51941089E+00 2.84932757E-03
-2.74177583E-03 1.51965188E+00 2.84970457E-03
-2.74178076E-03 1.51989308E+00 2.85008201E-03
-2.74178573E-03 1.52013452E+00 2.85045890E-03
-2.74179066E-03 1.52037617E+00 2.85083623E-03
-2.74179564E-03 1.52061806E+00 2.85121300E-03
-2.74180059E-03 1.52086017E+00 2.85158997E-03
-2.74180530E-03 1.52110167E+00 2.85199787E-03
-2.74180934E-03 1.52134099E+00 2.85249565E-03
-2.74181332E-03 1.52158052E+00 2.85299384E-03
-2.74181736E-03 1.52182028E+00 2.85349144E-03
-2.74182139E-03 1.52206027E+00 2.85398894E-03
-2.74182537E-03 1.52230046E+00 2.85448685E-03
-2.74182941E-03 1.52254090E+00 2.85498416E-03
-2.74183342E-03 1.52278155E+00 2.85548164E-03
-2.74183742E-03 1.52302242E+00 2.85597901E-03
-2.74184134E-03 1.52326311E+00 2.85649229E-03
-2.74184439E-03 1.52350097E+00 2.85712310E-03
-2.74184744E-03 1.52373906E+00 2.85775377E-03
-2.74185051E-03 1.52397737E+00 2.85838404E-03
-2.74185359E-03 1.52421591E+00 2.85901416E-03
-2.74185661E-03 1.52445465E+00 2.85964465E-03
-2.74185969E-03 1.52469364E+00 2.86027447E-03
-2.74186276E-03 1.52493284E+00 2.86090415E-03
-2.74186581E-03 1.52517226E+00 2.86153394E-03
-2.74186886E-03 1.52541191E+00 2.86216358E-03
-2.74187095E-03 1.52564810E+00 2.86293990E-03
-2.74187303E-03 1.52588446E+00 2.86371789E-03
-2.74187511E-03 1.52612104E+00 2.86449565E-03
-2.74187716E-03 1.52635784E+00 2.86527345E-03
-2.74187922E-03 1.52659486E+00 2.86605104E-03
-2.74188130E-03 1.52683211E+00 2.86682814E-03
-2.74188337E-03 1.52706958E+00 2.86760502E-03
-2.74188545E-03 1.52730727E+00 2.86838169E-03
-2.74188751E-03 1.52754518E+00 2.86915839E-03
-2.74188869E-03 1.52777985E+00 2.87007734E-03
-2.74188971E-03 1.52801413E+00 2.87102055E-03
-2.74189071E-03 1.52824863E+00 2.87196370E-03
-2.74189174E-03 1.52848336E+00 2.87290627E-03
-2.74189276E-03 1.52871831E+00 2.87384851E-03
-2.74189379E-03 1.52895348E+00 2.87479044E-03
-2.74189481E-03 1.52918887E+00 2.87573204E-03
-2.74189584E-03 1.52942448E+00 2.87667333E-03
-2.74189687E-03 1.52966032E+00 2.87761430E-03
-2.74189708E-03 1.52989316E+00 2.87869065E-03
-2.74189697E-03 1.53012497E+00 2.87981961E-03
-2.74189686E-03 1.53035699E+00 2.88094811E-03
-2.74189675E-03 1.53058923E+00 2.88207616E-03
-2.74189665E-03 1.53082169E+00 2.88320375E-03
-2.74189654E-03 1.53105437E+00 2.88433089E-03
-2.74189643E-03 1.53128728E+00 2.88545757E-03
-2.74189633E-03 1.53152040E+00 2.88658381E-03
-2.74189622E-03 1.53175374E+00 2.88770959E-03
-2.74189539E-03 1.53198442E+00 2.88895975E-03
-2.74189407E-03 1.53221328E+00 2.89029768E-03
-2.74189275E-03 1.53244235E+00 2.89163497E-03
-2.74189141E-03 1.53267163E+00 2.89297189E-03
-2.74189006E-03 1.53290113E+00 2.89430819E-03
-2.74188872E-03 1.53313085E+00 2.89564385E-03
-2.74188737E-03 1.53336079E+00 2.89697888E-03
-2.74188605E-03 1.53359095E+00 2.89831301E-03
-2.74188474E-03 1.53382133E+00 2.89964651E-03
-2.74188278E-03 1.53404947E+00 2.90108853E-03
-2.74188007E-03 1.53427482E+00 2.90266248E-03
-2.74187741E-03 1.53450040E+00 2.90423502E-03
-2.74187470E-03 1.53472618E+00 2.90580724E-03
-2.74187199E-03 1.53495218E+00 2.90737859E-03
-2.74186933E-03 1.53517841E+00 2.90894852E-03
-2.74186662E-03 1.53540484E+00 2.91051814E-03
-2.74186391E-03 1.53563149E+00 2.91208689E-03
-2.74186125E-03 1.53585836E+00 2.91365423E-03
-2.74185806E-03 1.53608353E+00 2.91530777E-03
-2.74185389E-03 1.53630480E+00 2.91714657E-03
-2.74184966E-03 1.53652627E+00 2.91898473E-03
-2.74184548E-03 1.53674796E+00 2.92082117E-03
-2.74184125E-03 1.53696986E+00 2.92265699E-03
-2.74183707E-03 1.53719198E+00 2.92449107E-03
-2.74183284E-03 1.53741430E+00 2.92632455E-03
-2.74182866E-03 1.53763684E+00 2.92815629E-03
-2.74182443E-03 1.53785959E+00 2.92998743E-03
-2.74181994E-03 1.53808134E+00 2.93187316E-03
-2.74181403E-03 1.53829785E+00 2.93401039E-03
-2.74180813E-03 1.53851456E+00 2.93614605E-03
-2.74180225E-03 1.53873148E+00 2.93827984E-03
-2.74179636E-03 1.53894862E+00 2.94041207E-03
